index,Wheat flour/bread,Other cereals,Rice,Oils/fats
Rural,0.5172538392050587,0.8623306233062331,0.34345076784101175,0.7663956639566396
Semi-Urban,0.6895424836601307,0.8496732026143791,0.5163398692810458,0.8496732026143791
Urban,0.855495410684867,0.7987761826312073,0.6705107084019769,0.8602024005648388
!Karas,0.8658318425760286,0.7567084078711985,0.6529516994633273,0.817531305903399
Erongo,0.8514492753623188,0.7294685990338164,0.6763285024154589,0.8961352657004831
Hardap,0.9019607843137255,0.8787878787878788,0.6702317290552585,0.7540106951871658
Kavango East,0.4963898916967509,0.8574007220216606,0.2851985559566787,0.6552346570397112
Kavango West,0.3908450704225352,0.8890845070422535,0.15845070422535212,0.6672535211267606
Khomas,0.8496309963099631,0.7952029520295203,0.6595940959409594,0.8413284132841329
Kunene,0.6070175438596491,0.9315789473684211,0.45263157894736844,0.7982456140350878
Ohangwena,0.5163934426229508,0.819672131147541,0.35714285714285715,0.7552693208430913
Omaheke,0.5727109515260324,0.8689407540394973,0.4236983842010772,0.7414721723518851
Omusati,0.5573770491803278,0.7552693208430913,0.3407494145199063,0.8559718969555035
Oshana,0.735224586288416,0.8250591016548463,0.5721040189125296,0.8817966903073287
Oshikoto,0.5035211267605634,0.9084507042253521,0.40375586854460094,0.8169014084507042
Otjozondjupa,0.6833930704898447,0.8172043010752689,0.5746714456391876,0.8351254480286738
Zambezi,0.6908127208480566,0.9699646643109541,0.43286219081272087,0.8763250883392226
Female,0.6685441941074524,0.8457538994800693,0.49241767764298094,0.8191074523396881
Male,0.6618560467665326,0.8262696382900987,0.4813664596273292,0.7994154183412495
0-18,0.43243243243243246,0.8108108108108109,0.35135135135135137,0.5945945945945946
18-59,0.6830580099884749,0.8332693046484825,0.5141503393520297,0.8149571007811499
60+,0.6056149732620321,0.8422459893048129,0.39215686274509803,0.7892156862745098
No formal education,0.44724409448818897,0.8719160104986876,0.26666666666666666,0.7023622047244095
Not stated,0.509090909090909,0.8727272727272727,0.45454545454545453,0.7636363636363637
Primary,0.5647706422018348,0.8642201834862385,0.37577981651376147,0.7805504587155964
Secondary,0.7669064748201438,0.8201438848920863,0.5853717026378897,0.8575539568345324
Tertiary,0.8974630021141649,0.7674418604651163,0.7494714587737844,0.8752642706131079
1,0.3466666666666667,0.9155555555555556,0.18814814814814815,0.6325925925925926
2,0.4496732026143791,0.8836601307189542,0.2601307189542484,0.7359477124183007
3,0.531585220500596,0.8736591179976162,0.3146603098927294,0.7783075089392133
4,0.5807962529274004,0.8653395784543325,0.38992974238875877,0.7927400468384075
5,0.6126315789473684,0.8726315789473684,0.42,0.8
6,0.6706349206349206,0.8531746031746031,0.4513888888888889,0.8194444444444444
7,0.7048138056312443,0.8247048138056312,0.5576748410535877,0.8392370572207084
8,0.7468671679197995,0.8270676691729323,0.5680868838763575,0.8345864661654135
9,0.813717848791894,0.8051441932969603,0.6562743569758379,0.8651597817614964
10,0.8582510578279267,0.734132581100141,0.7016925246826516,0.8589562764456982
Afrikaans,0.9314685314685315,0.7454545454545455,0.7608391608391608,0.8769230769230769
English,0.9009009009009009,0.6936936936936937,0.7567567567567568,0.918918918918919
German,0.8484848484848485,0.6363636363636364,0.696969696969697,0.7878787878787878
Khoisan,0.2465753424657534,0.9315068493150684,0.14383561643835616,0.5616438356164384
Nama/Damara,0.7979876160990712,0.8630030959752322,0.6091331269349846,0.7647058823529411
Oshiwambo,0.6455531453362255,0.820173535791757,0.47093275488069414,0.841648590021692
Other,0.7818181818181819,0.5515151515151515,0.6545454545454545,0.7151515151515152
Other African,0.7592592592592593,0.8425925925925926,0.6574074074074074,0.8611111111111112
Other European,0.9714285714285714,0.5714285714285714,0.7428571428571429,0.8857142857142857
Otjiherero,0.605,0.864,0.458,0.804
Rukavango,0.46147798742138363,0.8860062893081762,0.24449685534591195,0.6910377358490566
Setswana,0.7419354838709677,0.8709677419354839,0.5806451612903226,0.6129032258064516
Zambezi languages,0.7202797202797203,0.951048951048951,0.5,0.8881118881118881
