index,q07_02_1,q07_02_2,q07_02_3,q07_02_4,q07_02_5
,mean,mean,mean,mean,mean
Rural,0.11887985546522131,0.4034327009936766,0.12032520325203253,0.0012646793134598012,0
Semi-Urban,0.08823529411764706,0.21568627450980393,0.05555555555555555,0.0,0
Urban,0.013179571663920923,0.018357260531889855,0.005413038361967522,0.0,0
!Karas,0.0035778175313059034,0.0017889087656529517,0.0,0.0,0
Erongo,0.0012077294685990338,0.006038647342995169,0.0012077294685990338,0.0,0
Hardap,0.0035650623885918,0.0053475935828877,0.0017825311942959,0.0,0
Kavango East,0.13537906137184116,0.2003610108303249,0.01444043321299639,0.0,0
Kavango West,0.33274647887323944,0.5088028169014085,0.10035211267605634,0.0,0
Khomas,0.011992619926199263,0.008302583025830259,0.008302583025830259,0.0,0
Kunene,0.028070175438596492,0.0035087719298245615,0.0017543859649122807,0.0017543859649122807,0
Ohangwena,0.11124121779859485,0.6885245901639344,0.25526932084309134,0.0,0
Omaheke,0.03052064631956912,0.0,0.0,0.0,0
Omusati,0.08313817330210772,0.6159250585480094,0.25644028103044497,0.0,0
Oshana,0.0425531914893617,0.41134751773049644,0.11229314420803782,0.0,0
Oshikoto,0.07394366197183098,0.5516431924882629,0.09624413145539906,0.007042253521126761,0
Otjozondjupa,0.019115890083632018,0.0011947431302270011,0.0035842293906810036,0.0,0
Zambezi,0.25618374558303886,0.04240282685512368,0.02120141342756184,0.0,0
Female,0.07647313691507798,0.2983102253032929,0.08817157712305027,0.0010831889081455806,0
Male,0.07088052612349288,0.18268176835951772,0.0546218487394958,0.00036536353671903543,0
0-18,0.08108108108108109,0.21621621621621623,0.02702702702702703,0.0,0
18-59,0.06108336534767576,0.170316301703163,0.04840568574721475,0.0005122294788065053,0
60+,0.1163101604278075,0.46301247771836007,0.14572192513368984,0.001336898395721925,0
No formal education,0.09763779527559055,0.31601049868766407,0.09186351706036745,0.0005249343832020997,0
Not stated,0.05454545454545454,0.2727272727272727,0.07272727272727272,0.0,0
Primary,0.10055045871559633,0.3563302752293578,0.10568807339449542,0.0014678899082568807,0
Secondary,0.05731414868105516,0.16211031175059953,0.0486810551558753,0.00023980815347721823,0
Tertiary,0.03171247357293869,0.09408033826638477,0.0306553911205074,0.0010570824524312897,0
1,0.1288888888888889,0.22962962962962963,0.05333333333333334,0.0,0
2,0.1111111111111111,0.3215686274509804,0.09281045751633987,0.0,0
3,0.11323003575685339,0.3742550655542312,0.10727056019070322,0.0,0
4,0.08548009367681499,0.31030444964871196,0.08665105386416862,0.00234192037470726,0
5,0.08736842105263158,0.3273684210526316,0.10105263157894737,0.002105263157894737,0
6,0.09424603174603174,0.2906746031746032,0.08035714285714286,0.001984126984126984,0
7,0.0681198910081744,0.23887375113533152,0.06721162579473206,0.0,0
8,0.05179615705931495,0.21303258145363407,0.07685881370091896,0.000835421888053467,0
9,0.04053000779423227,0.1332813717848792,0.044427123928293066,0.0,0
10,0.023977433004231313,0.07334273624823695,0.02468265162200282,0.0,0
Afrikaans,0.004195804195804196,0.0,0.0,0.0,0
English,0.0,0.0,0.0,0.0,0
German,0.030303030303030304,0.0,0.0,0.0,0
Khoisan,0.03424657534246575,0.04794520547945205,0.00684931506849315,0.0,0
Nama/Damara,0.009287925696594427,0.0,0.0,0.0007739938080495357,0
Oshiwambo,0.06052060737527115,0.42017353579175704,0.13470715835140998,0.0013015184381778742,0
Other,0.01818181818181818,0.024242424242424242,0.012121212121212121,0.0,0
Other African,0.027777777777777776,0.027777777777777776,0.0,0.0,0
Other European,0.0,0.0,0.0,0.0,0
Otjiherero,0.035,0.018,0.006,0.0,0
Rukavango,0.21069182389937108,0.3058176100628931,0.05188679245283019,0.0,0
Setswana,0.0,0.0,0.0,0.0,0
Zambezi languages,0.23076923076923078,0.033216783216783216,0.017482517482517484,0.0,0
