index,mean
Rural,0.014634146341463415
Semi-Urban,0.00980392156862745
Urban,0.0007060484819957637
!Karas,0.005366726296958855
Erongo,0.0012077294685990338
Hardap,0.0035650623885918
Kavango East,0.0018050541516245488
Kavango West,0.0035211267605633804
Khomas,0.0009225092250922509
Kunene,0.0017543859649122807
Ohangwena,0.03747072599531616
Omaheke,0.012567324955116697
Omusati,0.00234192037470726
Oshana,0.010638297872340425
Oshikoto,0.018779342723004695
Otjozondjupa,0.011947431302270013
Zambezi,0.0
Female,0.008015597920277296
Male,0.009134088417975887
0-18,0.0
18-59,0.00768344218209758
60+,0.012032085561497326
No formal education,0.008398950131233596
Not stated,0.0
Primary,0.012844036697247707
Secondary,0.007434052757793765
Tertiary,0.004228329809725159
1,0.0014814814814814814
2,0.01045751633986928
3,0.013110846245530394
4,0.01053864168618267
5,0.01368421052631579
6,0.012896825396825396
7,0.007266121707538601
8,0.003341687552213868
9,0.003117692907248636
10,0.011283497884344146
Afrikaans,0.005594405594405594
English,0.0
German,0.030303030303030304
Khoisan,0.0
Nama/Damara,0.0
Oshiwambo,0.012798264642082429
Other,0.012121212121212121
Other African,0.018518518518518517
Other European,0.0
Otjiherero,0.016
Rukavango,0.0023584905660377358
Setswana,0.0
Zambezi languages,0.0
