index,crops_given_away_1,crops_given_away_2,crops_given_away_3,crops_given_away_4,crops_given_away_6
Rural,9.465857182201846,12.435755585341113,2.613071908226009,7.737127559112827,45.69249293456782
Urban,3.232207608703845,12.494230289350133,1.0260227316845727,0.0,2.0
!Karas,6.0193469559862764,0.0,0.0,0.0,0.0
Erongo,0.0,21.5599714037867,0.0,0.0,0.0
Hardap,10.669465457431992,0.0,0.0,0.0,0.0
Kavango East,23.555608782729767,11.221435641529299,7.951055018322636,0.0,0.0
Kavango West,10.201324492634548,19.70101899935029,2.095714122905836,0.0,0.0
Khomas,0.9664307235731097,36.20896443905257,0.0,0.0,2.0
Kunene,5.542275632724372,16.223096084206084,0.0,0.0,94.1607333848639
Ohangwena,1.1976981421663782,11.556067413664405,0.2516784135922141,0.0,0.0
Omaheke,7.7799727181132905,0.0,0.0,0.0,0.0
Omusati,0.4946663428767776,14.607961576786359,2.467799778552191,0.0,0.0
Oshana,0.7790875712748131,4.618773138469941,7.145358692025116,0.0,0.0
Oshikoto,5.8415591086970196,13.653099301895603,4.167236788855696,9.844436405544293,0.0
Otjozondjupa,4.353814972365714,10.0,0.0,0.0,0.0
Zambezi,16.30826422924906,9.263568314548438,4.268388787235112,0.0,0.0
Female,7.958054745525445,10.624442788657019,2.4695561819399825,10.855658565651414,6.888423491082782
Male,9.239081159583666,14.841664757891824,2.5595322501296383,0.0,58.17978127989325
0-18,0.0,1.4584118155576555,0.0,0.0,0.0
18-59,7.639142235015554,10.710290185014705,2.936668013244335,13.078429020582732,44.10313315026237
60+,10.699006338210232,14.987077131474619,1.9497943228836,0.0,16.237872349512884
No formal education,7.966182004001573,19.758728159889458,0.6507022574333903,0.0,23.2596680861301
Not stated,35.37327840790698,0.0,0.0,0.0,0.0
Primary,10.33504025163568,8.22827501532205,1.9775229275970467,0.0,168.64307638256133
Secondary,7.305311562032247,10.343840299200584,4.563154259054709,0.0,0.0
Tertiary,5.081067961559693,26.62475619752752,4.67614419602358,50.0,1.1984484255246617
1,4.163480683156793,2.3132735078236233,0.0,0.0,19.158928335448152
2,5.756708248430686,12.84181900607241,0.35328680093308573,0.0,6.406008307232283
3,5.720478008602098,4.719545467753824,0.6310404782997303,0.0,0.0
4,12.845610530455884,20.322659705172377,1.5576128561354128,0.0,0.0
5,12.07638533360662,11.101573353891318,2.669183624758993,0.0,0.0
6,4.742929469852683,8.207970789043005,1.8848007520002275,0.0,0.0
7,9.729818682001053,12.24327435985224,8.462497905229048,0.0,0.0
8,17.72925361697847,20.250928431057133,3.2909228670323034,50.0,0.0
9,12.155444784727694,15.346482543639217,0.7691848034259336,0.0,134.00964964287692
10,3.7358698753248465,21.81712392449531,4.7242476015103705,0.0,0.0
Afrikaans,5.688298570523517,0.0,0.0,0.0,0.0
English,0.0,0.0,0.0,0.0,0.0
German,0.0,0.0,0.0,0.0,0.0
Khoisan,0.5399623272972305,0.0,0.0,0.0,0.0
Nama/Damara,5.621504271757605,0.0,0.0,0.0,0.0
Oshiwambo,1.9219690176442477,12.06612737814202,2.319716415608302,9.844436405544293,97.63589020497108
Other,0.0,1.688635468696271,0.0,0.0,0.0
Other African,2.625117487380258,3.8886054470773512,0.0,0.0,0.0
Other European,0.0,0.0,0.0,0.0,0.0
Otjiherero,3.632934638186759,1.9847580363822783,17.435224944594236,0.0,23.2596680861301
Rukavango,16.312561047815198,16.62249936852969,3.212463240765602,0.0,0.0
Setswana,0.0,0.0,0.0,0.0,0.0
Zambezi languages,16.77785780550444,10.916377950615017,5.108144436002481,0.0,0.0
