index,q07_08_3
Rural,0.016144933600793006
Urban,0.0013673090909465113
!Karas,0.003491067884426947
Erongo,0.0010875861131134658
Hardap,0.006116796700066815
Kavango East,0.0027283827624293546
Kavango West,0.0023285282959449732
Khomas,0.0011398284899668404
Kunene,0.0011464795982642985
Ohangwena,0.03916934574840077
Omaheke,0.007527711502025384
Omusati,0.00207605366978842
Oshana,0.01205984021703141
Oshikoto,0.018790527225535206
Otjozondjupa,0.011123726129267186
Zambezi,0.0
Female,0.008162720229750066
Male,0.00813221641905795
0-18,0.0
18-59,0.006752248258985
60+,0.014348811263380022
No formal education,0.008545012926665149
Not stated,0.0
Primary,0.014151079021461652
Secondary,0.0064130489817934505
Tertiary,0.002451169922543646
1,0.0009649259923247154
2,0.009596575455280096
3,0.014458553805128019
4,0.01255252155445497
5,0.015706538458270577
6,0.010487559579542808
7,0.007340043886877374
8,0.0020879660544845333
9,0.002317581259832069
10,0.009580195105018948
Afrikaans,0.0040487464076274906
English,0.0
German,0.00838731990276201
Khoisan,0.0
Nama/Damara,0.0
Oshiwambo,0.011740683790536227
Other,0.011641679917460835
Other African,0.00302113563356862
Other European,0.0
Otjiherero,0.014415819377534765
Rukavango,0.002044183659803512
Setswana,0.0
Zambezi languages,0.0
