index,q07_02_1,q07_02_1,q07_02_2,q07_02_2,q07_02_3,q07_02_3,q07_02_4,q07_02_4,q07_02_6,q07_02_6
,group_wa6,count,group_wa6,count,group_wa6,count,group_wa6,count,group_wa6,count
Rural,0.11462071382491003,5535,0.44584753191994037,5535,0.14236586606825846,5535,0.0011478468665108402,5535,0.003501699431488435,2589
Urban,0.015483632426597636,4555,0.02539949098515592,4555,0.008450256169633361,4555,0.0,4555,0.00592001784651651,220
!Karas,0.002507705548713909,559,0.0005227906909893654,559,0.0,559,0.0,559,0.0,22
Erongo,0.0006716657035367287,828,0.005913901352965529,828,0.0006997773079639827,828,0.0,828,0.0,13
Hardap,0.0016567109091815203,561,0.004921241798431247,561,0.0009496621165035372,561,0.0,561,0.0,20
Kavango East,0.15971149740147386,554,0.22870548599314314,554,0.014734184554979565,554,0.0,554,0.0161365461217006,135
Kavango West,0.35869046711177355,568,0.5265868743062995,568,0.09305557739601227,568,0.0,568,0.0,368
Khomas,0.012091214886725868,1084,0.009234133111409483,1084,0.010052957078516365,1084,0.0,1084,0.019873925691423298,35
Kunene,0.026735992741844242,570,0.008339420344783329,570,0.00270582435077395,570,0.0028594133633570405,570,0.28139192506093613,18
Ohangwena,0.1141157821025301,854,0.6662821169676683,854,0.2533280798084384,854,0.0,854,0.0,592
Omaheke,0.023369807457852998,557,0.0,557,0.0,557,0.0,557,0.0,23
Omusati,0.08437232416291032,854,0.5904266929833595,854,0.2554653529766088,854,0.0,854,0.0,537
Oshana,0.04199653659605873,846,0.38938495871734086,846,0.11185092195310363,846,0.0,846,0.0027135628131209097,353
Oshikoto,0.07047842007091669,852,0.5191748752542176,852,0.08730899372996145,852,0.005442433478623455,852,0.0,480
Otjozondjupa,0.013536129292386942,837,0.0020336821311527924,837,0.003227953137720363,837,0.0,837,0.0,50
Zambezi,0.2768652439702393,566,0.04031030944942169,566,0.019665030218650535,566,0.0,566,0.009731898049219064,163
Female,0.06812120720047081,4616,0.28235386197623213,4616,0.08880914114782598,4616,0.0008522545608735579,4616,0.00248239609776101,1552
Male,0.05532049115922124,5474,0.16782769927263474,5474,0.05498118846906916,5474,0.0002702387085595121,5474,0.005217313889584171,1257
0-18,0.05776238409419021,37,0.24004644363148783,37,0.01985983035720727,37,0.0,37,0.0,11
18-59,0.05045726243106849,7809,0.1568832336506401,7809,0.04917013545515866,7809,0.0003851091301462676,7809,0.00506599094867653,1650
60+,0.10641894673232542,2244,0.4830987591668284,2244,0.16049222658258408,2244,0.0011493749143557798,2244,0.0016241449319680697,1148
No formal education,0.0876600967890672,1905,0.3347286313680574,1905,0.10409423340062836,1905,0.0006014502031249783,1905,0.00338082909299556,702
Not stated,0.024757892786168797,55,0.24725906420428537,55,0.07002593491230008,55,0.0,55,0.0,19
Primary,0.091786703594711,2725,0.35958896965280357,2725,0.11607459725154835,2725,0.001206400420315332,2725,0.00194929266676866,1092
Secondary,0.0475456601100895,4170,0.14431183072794404,4170,0.04789293096768927,4170,0.000122072290176066,4170,0.004165620248228186,843
Tertiary,0.02052640860920105,946,0.07830223639815909,946,0.022216659330174297,946,0.0007242232540013766,946,0.01811937274298052,123
1,0.11093161294799003,675,0.2467509625515706,675,0.05822688588780286,675,0.0,675,0.006698072440245689,210
2,0.09973108077490377,765,0.33884725991047865,765,0.10845404323813292,765,0.0,765,0.013983433941714056,294
3,0.10583445919679038,839,0.39294769854536304,839,0.121927973460418,839,0.0,839,0.0,352
4,0.08018023077334434,854,0.3336641575213569,854,0.10276465719882782,854,0.0026181055176109354,854,0.0,300
5,0.07490208190509859,950,0.3140613023671411,950,0.1035727222988375,950,0.0013285598101018374,950,0.0,355
6,0.08251014631099343,1008,0.27528551397203,1008,0.07980679465891947,1008,0.0011986950565069994,1008,0.0014262610739677706,342
7,0.0631885124488966,1101,0.2208006477465974,1101,0.07357468448988133,1101,0.0,1101,0.0,307
8,0.03727462710838149,1197,0.18152272881212114,1197,0.06804725424039547,1197,0.0006590424686183251,1197,0.003395869371763586,281
9,0.032897375294827336,1283,0.10953912733862377,1283,0.037380398707496,1283,0.0,1283,0.013180641030609196,206
10,0.018095147895220046,1418,0.058194982798417796,1418,0.021757000718545885,1418,0.0,1418,0.005734934447232824,162
Afrikaans,0.0030872186425377314,715,0.0,715,0.0,715,0.0,715,0.0,21
English,0.0,111,0.0,111,0.0,111,0.0,111,0.0,2
German,0.012352759820608713,33,0.0,33,0.0,33,0.0,33,0.0,4
Khoisan,0.01633489434706027,146,0.0215710946517641,146,0.0017727068805876412,146,0.0,146,0.0,15
Nama/Damara,0.006740765120255129,1292,0.0,1292,0.0,1292,0.0009711549411047171,1292,0.03880764072661584,31
Oshiwambo,0.057147526047591754,4610,0.3706631859185817,4610,0.12638317561395043,4610,0.0008042771850731638,4610,0.0016786614139089246,1989
Other,0.01380558681461371,165,0.02120432146473169,165,0.012501386003528759,165,0.0,165,0.0,13
Other African,0.02222060692963089,108,0.01666363533462406,108,0.0,108,0.0,108,0.0,9
Other European,0.0,35,0.0,35,0.0,35,0.0,35,0.0,0
Otjiherero,0.025005317512609246,1000,0.01749341098947892,1000,0.006602091814214775,1000,0.0,1000,0.046442763069067666,61
Rukavango,0.18568683643748132,1272,0.2567648265702787,1272,0.035860106396402455,1272,0.0,1272,0.006558400776136527,511
Setswana,0.0,31,0.0,31,0.0,31,0.0,31,0.0,0
Zambezi languages,0.24092045398548095,572,0.0320610313816186,572,0.015401287634575383,572,0.0,572,0.009996161537792014,153
