index,q07_04_1,q07_04_1,q07_04_2,q07_04_2,q07_04_3,q07_04_3,q07_04_4,q07_04_4,q07_04_6,q07_04_6
,group_wa2,count,group_wa2,count,group_wa2,count,group_wa2,count,group_wa2,count
Rural,81.63836221233852,658,214.21218139701426,2233,40.92489514110745,666,70.29080537993258,7,118.20048930612978,9
Urban,39.32259120231494,83,418.94329441953266,144,88.80665521652222,40,0.0,0,3.0,1
!Karas,18.769850430214806,2,300.0,1,0.0,0,0.0,0,0.0,0
Erongo,100.0,1,96.99579899167665,5,50.0,1,0.0,0,0.0,0
Hardap,25.0,2,203.55764299563413,3,0.0,1,0.0,0,0.0,0
Kavango East,110.35554406880995,75,155.63783839109192,111,73.11865180003143,8,0.0,0,1.0,1
Kavango West,98.46919850219003,189,181.92479657573483,289,49.72148952929281,57,0.0,0,0.0,0
Khomas,27.59371838760253,13,1943.9737636954603,9,164.86698543935464,9,0.0,0,3.0,1
Kunene,52.44061439788644,16,114.89238433619816,2,25.0,1,50.0,1,227.34647037716428,5
Ohangwena,18.311148692090924,95,229.23916705996552,588,23.577289629964113,218,0.0,0,0.0,0
Omaheke,186.22902753441969,17,0.0,0,0.0,0,0.0,0,0.0,0
Omusati,39.48172190385726,71,263.77293271193275,526,55.041706442390485,219,0.0,0,0.0,0
Oshana,51.315297587155015,36,183.4380348844711,348,31.993472256742002,95,0.0,0,49.99999999999999,1
Oshikoto,45.11964813691696,63,169.2310291998145,470,45.794387207948326,82,75.81727413120666,6,0.0,0
Otjozondjupa,16.474995836331946,16,10.0,1,6.668457704875199,3,0.0,0,0.0,0
Zambezi,145.41615095304698,145,67.9018047045944,24,64.94492555319167,12,0.0,0,13.641747545463003,2
Female,61.77319512474507,353,222.52566263973796,1377,43.39536942809659,407,73.57170299815965,5,48.01751552269862,4
Male,89.42763005333097,388,233.17590846467905,1000,44.90303824296998,299,62.15084354273248,2,132.61461762993326,6
0-18,85.67202592801907,3,191.4541325112358,8,5.0,1,0.0,0,0.0,0
18-59,69.89640907335803,477,214.59342418822533,1330,38.91685161989048,378,86.99795836789458,4,109.95336411390198,8
60+,87.84471027464456,261,245.0705549201573,1039,50.976933467525264,327,46.08970481471461,3,60.67791147260298,2
No formal education,90.6100886769917,186,240.53193589750478,602,40.74620755348047,175,10.0,1,101.85276910107461,3
Not stated,111.9518466702343,3,163.5392843167868,15,155.62085993362112,4,0.0,0,0.0,0
Primary,73.70469684813624,274,201.0588500450857,971,35.6555640065119,288,92.0595104416754,4,359.17897336951376,2
Secondary,72.26357583906024,239,242.00785714742904,676,57.46889514591058,203,12.000000000000002,1,5.670070318409569,3
Tertiary,55.793363760691676,30,329.0466727807715,89,35.250429529586555,29,99.99999999999999,1,21.83646200058789,2
1,93.71914521970143,87,146.55214797159113,155,36.508065476446546,36,0.0,0,44.48607100347763,2
2,71.05903141061502,85,174.2645016300266,246,32.38399167650932,71,0.0,0,44.376654741345234,3
3,61.12094794307981,95,163.67731918867423,314,26.647805767396793,90,0.0,0,0.0,0
4,79.8187753057113,73,291.6048544699033,265,52.919490030774625,74,31.71429172847581,2,0.0,0
5,94.00167476565791,83,219.9015567285484,311,38.8096887188348,96,74.60502348890516,2,0.0,0
6,58.54322038733765,95,215.62760402559428,293,33.254507999189364,81,113.51538338230108,2,20.0,1
7,71.75990751805263,75,198.17462467749004,263,27.913929259884707,74,0.0,0,0.0,0
8,94.76472318307052,62,391.3699947452109,255,79.1348353948925,92,99.99999999999999,1,50.0,1
9,60.868445975128395,52,254.68447961582143,171,84.6624089684711,57,0.0,0,267.4622846862315,2
10,85.28825876139975,34,182.27790278741378,104,29.688373558192854,35,0.0,0,49.99999999999999,1
Afrikaans,6.025354649573804,3,0.0,0,0.0,0,0.0,0,0.0,0
English,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
German,50.00000000000001,1,0.0,0,0.0,0,0.0,0,0.0,0
Khoisan,9.360756574809724,5,38.613839492760235,7,50.00000000000001,1,0.0,0,0.0,0
Nama/Damara,21.548323916024955,12,0.0,0,0.0,0,50.0,1,50.0,1
Oshiwambo,33.044225089998726,279,234.53651623106495,1937,43.784788655732456,621,75.81727413120666,6,208.4372752835192,3
Other,63.30976850190389,3,548.7867286622127,4,16.020317827220836,2,0.0,0,0.0,0
Other African,8.608804228469921,3,30.6917853773348,3,0.0,0,0.0,0,0.0,0
Other European,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Otjiherero,115.18717179990111,35,196.7723906221284,18,13.13948936770562,6,0.0,0,101.85276910107461,3
Rukavango,106.57871661503512,268,175.96931221035996,389,51.759604580859396,66,0.0,0,1.0,1
Setswana,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Zambezi languages,146.54936631728197,132,72.13345582549806,19,71.25022144541649,10,0.0,0,13.641747545463003,2
