,Wheat_gcd_sum,Maize_gcd_sum,Mahangu_gcd_sum,Salt_gcd_sum,Milk_gcd_sum,Oil_gcd_sum,Sugar_gcd_sum
!Karas,227.36600000000004,147.885,30.48,6.736902000000001,29.700000000000003,5.33,12.6
Erongo,292.31899999999996,75.2,42.75,7.8931390000000015,23.060000000000002,7.43,10.29
Hardap,253.21,84.4675,4.359999999999999,7.6022620000000005,32.699999999999996,4.01,18.29
Kavango East,58.305,179.2825,92.38,2.3221650000000005,6.88,5.45,3.48
Kavango West,30.284,220.53749999999997,361.80999999999995,1.666853,4.720000000000001,4.43,2.6
Khomas,208.67,67.08500000000001,46.239999999999995,5.983535999999999,22.25,5.85,6.92
Kunene,76.10249999999999,263.9775,16.21,3.037588,16.18,6.65,14.24
Ohangwena,57.31,145.2,306.19,3.641991,4.28,9.139999999999999,5.67
Omaheke,112.89899999999999,124.5875,11.879999999999999,3.995913,17.939999999999998,4.319999999999999,22.42
Omusati,88.06449999999998,126.54250000000002,357.04,5.013043,5.13,7.41,5.36
Oshana,153.10199999999998,73.805,353.27,5.599883000000001,13.95,7.6499999999999995,7.71
Oshikoto,79.4865,111.505,452.76,3.779393,6.85,7.74,7.42
Otjozondjupa,194.94700000000003,134.31,39.419999999999995,5.522890000000001,24.729999999999997,4.24,18.41
Zambezi,59.733,337.88,13.5,3.8148009999999997,20.46,8.85,7.71
Total,138.50799999999998,130.7575,178.72000000000003,4.896344000000001,15.069999999999999,6.659999999999999,8.82
