,granular salt in container with lid,uncovered granular salt,block salt,other,Weighted_Count
completed,0.5048669704061046,0.1261967432270925,0.24808493493708705,0.01685151269755231,6392.0
rural,0.34546495361751606,0.14205942141937283,0.3805946959032093,0.004988393655351241,3913.3
urban,0.7565284441076836,0.10115298875554342,0.03888054470150766,0.035580824164277186,2478.7
caprivi,0.5570351467936108,0.13008293125069786,0.02865435676107362,0.001518048698772404,391.6
erongo,0.7383701709497955,0.17647658839876676,0.027878436996035948,0.0,425.5
hardap,0.6096261038111507,0.06707710831850047,0.13005058442179881,0.0013563125804266257,297.1
karas,0.8077826266203199,0.022288900981821524,0.1156718465843142,0.0,263.1
kavango,0.3355320277266871,0.07414654607618006,0.41447073493648023,0.0,396.9
khomas,0.7973787513716657,0.03120169634289161,0.03241709058853144,0.09715021661874879,1026.9
kunene,0.3710280242539491,0.15356458069508866,0.15650445826940837,0.0054865016455054,244.4
ohangwena,0.08808828100156871,0.12441291474520856,0.6584552587483125,0.0,613.8
omaheke,0.26929904942426425,0.06792253860308604,0.5252378539093993,0.0011656720649531615,222.2
omusati,0.35643057569198733,0.15761927811542692,0.4480141570491246,0.0,642.3
oshana,0.6223249004479422,0.26638308947338846,0.059730215061679866,0.0,594.4
oshikoto,0.29927526115326253,0.1014074205474541,0.5140148565532319,0.0017128123446039252,537.2
otjozondjupa,0.5226330831751669,0.20406340386009564,0.1863668947465954,0.006018436893710099,736.6
