,iodine present,no iodine,Weighted_Count
completed,0.7682559010935631,0.23174409890643693,9205.5
rural,0.6215461606023083,0.3784538393976917,4388.7
urban,0.9019282763527214,0.09807172364727851,4816.7
caprivi,0.9683133747369878,0.0316866252630123,471.8
erongo,0.9328806674801469,0.06711933251985308,865.7
hardap,0.771182525328909,0.22881747467109112,346.8
karas,0.8998465206211752,0.10015347937882492,369.6
kavango,0.788196796084424,0.21180320391557603,681.7
khomas,0.9209925379818067,0.07900746201819321,1903.9
kunene,0.7423450777751234,0.25765492222487646,309.1
ohangwena,0.6208986504681988,0.3791013495318013,877.8
omaheke,0.5928590093971348,0.4071409906028653,299.8
omusati,0.5643444195976187,0.4356555804023814,914.8
oshana,0.6759960273831562,0.32400397261684377,814.2
oshikoto,0.6004895895917861,0.3995104104082137,770.5
otjozondjupa,0.7509255660655234,0.24907443393447654,579.8
