Region,Salt_mean,Salt_median
Total,5.385836445630314,4.871956313038863
!Karas,7.486269531877468,5.900000000000001
Erongo,5.52820085784951,5.900000000000002
Hardap,6.390161883151133,5.900000000000001
Kavango East,2.7902766636464196,2.40655612244898
Kavango West,3.035705920621781,2.5262544292533318
Khomas,6.5783495444454285,5.900000000000002
Kunene,7.129717841829051,5.900000000000002
Ohangwena,4.365763367020579,3.9225385934819927
Omaheke,5.915471237735853,5.900000000000001
Omusati,4.676401731108152,3.896689814814818
Oshana,6.000234444315655,5.689999999999999
Oshikoto,5.5847906925803645,5.393497458295058
Otjozondjupa,7.281417338240094,5.900000000000002
Zambezi,4.5979052283011494,3.933333333333336
