Region,Mahangu ,mahangu_kcal,Maize,maize_kcal,Bread,bread_kcal
Total,77.93,,131.59,,168.44,
!Karas,12.68,46.23,163.18,585.82,259.54,646.78
Erongo,19.86,72.4,73.39,263.47,365.24,910.17
Hardap,0.59,2.16,52.97,190.15,307.59,766.52
Kavango East,22.61,82.44,183.47,658.67,64.97,161.91
Kavango West,75.7,276.01,222.32,798.14,31.46,78.4
Khomas,24.74,90.21,67.27,241.49,255.16,635.85
Kunene,5.79,21.12,273.78,982.86,82.93,206.67
Ohangwena,176.01,641.74,149.15,535.44,65.67,163.66
Omaheke,2.29,8.36,124.64,447.46,133.07,331.61
Omusati,205.27,748.42,125.35,449.99,111.73,278.43
Oshana,118.18,430.87,70.55,253.27,194.85,485.57
Oshikoto,161.25,587.91,111.07,398.75,96.06,239.38
Otjozondjupa,7.27,26.52,132.97,477.36,240.89,600.29
Zambezi,10.76,39.22,358.48,1286.96,68.45,170.57
