Region,Mahangu_grams,mahangu_kcal,Maize_grams,maize_kcal,Bread_grams,bread_kcal
Total,74.75,272.54,127.69,439.90,166.67,414.85
!Karas,12.41,45.26,139.56,480.78,257.99,642.14
Erongo,19.35,70.56,71.93,247.80,360.75,897.91
Hardap,0.59,2.16,51.82,178.53,301.55,750.56
Kavango East,22.61,82.44,177.73,612.29,64.97,161.72
Kavango West,66.10,240.99,219.90,757.55,31.46,78.31
Khomas,24.06,87.72,65.93,227.12,252.98,629.66
Kunene,5.59,20.40,262.92,905.75,82.93,206.42
Ohangwena,164.96,601.43,143.82,495.47,65.67,163.46
Omaheke,2.70,9.86,122.18,420.91,133.07,331.21
Omusati,196.36,715.94,124.72,429.66,110.77,275.71
Oshana,117.78,429.43,71.09,244.92,190.01,472.93
Oshikoto,157.05,572.61,110.89,382.01,96.06,239.10
Otjozondjupa,7.19,26.22,131.19,451.95,236.86,589.54
Zambezi,10.34,37.69,337.88,1164.00,68.45,170.37
